AIDP,ID,GENDER,NATIONALITY,MOHAFAZA,MAJOR_DESC,UG/GR,Med Student (Yes/No),New Student (Yes/No),GPA,Column1,TUITION,FATHER_STATUS,FATHER_JOB_STATUS,FATHER_INCOME,MOTHER_STATUS,MOTHER_JOB_STATUS,MOTHER_INCOME,SIBLING_AUB,SIBLING_UNIVERSITY,SIBLING_SCHOOL,TOTAL_SIBLING_INCOME,OTHER_RESOURCE,Othere resources (yes/no),STUDENT_STATMENT,Student statement (applicaple/non applicable),PERC,Main priorities,High/low priorities,ACAD_STAND
FA,2060,F,Lebanon,North,Business Administration,UG,No,No,4.1,A,12690,Married,UnEmloyed,0,Married,Never Worked,0,1,0,0,0,"
income from land",yes,none,non applicable,20,priority 3,0,Good Standing
FA,2061,M,Lebanon,South,Computer & Communications Eng.,UG,No,No,3.8,A ,13110,Married,Retired,0,Married,Employed,22551,1,0,0,0,"
father's retirement salary",yes,none,non applicable,30,priority 3,0,Good Standing
FA,2062,F,Lebanon,Nabatieh,Political Studies,UG,No,No,88.8,A,10965,Divorced,Employed,0,Divorced,UnEmployed,84000,0,0,1,0,none,no,none,non applicable,25,priority 3,0,Good Standing
FA,2063,M,Lebanon,Beirut,Mathematics Science,UG,No,No,3.4,A-,9300,Married,Self-Employed,0,Married,Never Worked,0,0,0,0,15948,none,no,none,non applicable,30,priority 3,0,Good Standing
FA,2064,F,Lebanon,North,Computer Science,UG,No,No,2.9,B,11625,Married,Employed,54504,Married,Never Worked,0,0,0,0,0,Educational Benefits,yes,none,non applicable,15,priority 4,0,Good Standing
FA,2065,M,United States of America,Bekaa,Electrical & Computer Eng'g,UG,No,No,78.5,B ,13110,Married,Employed,26259.95,Married,Employed,39787.8,0,0,1,0,none,no,My mother's contract will end in september 2019 thus the only source of income is my father a civil servant working in the ministery of agriculture,applicable,20,priority 3,0,Good Standing
FA,2066,F,Lebanon,Mount Lebanon,Computer Science,UG,No,No,3.1,B+,11625,Married,Employed,65569.63,Married,Never Worked,0,0,0,1,0,none,no,none,non applicable,15,priority 4,0,Good Standing
FA,2067,M,Lebanon,n/a,Computer Science,UG,No,No,79.6,B+,11625,Married,Employed,35809.02,Married,UnEmployed,0,0,0,0,14920.42,none,no,none,non applicable,30,priority 3,0,Good Standing
FA,2068,M,Sierra Leone,Mount Lebanon,Business Administration,UG,No,No,77.1,B ,11844,Married,UnEmloyed,0,Married,UnEmployed,0,0,1,0,80908.99,Brother Annual Income,yes,none,non applicable,25,priority 3,0,Good Standing
FA,2069,F,Lebanon,Beirut,Nursing,UG,No,No,90.4,A,8764,Married,Employed,6799.73,Married,Employed,28518.66,0,0,0,0,"educational benefits

",yes,none,non applicable,30,priority 3,0,Good Standing
